50:21:0000000:4399
77:00:0000000:41753
77:01:0000000:2152
77:01:0000000:2189
77:01:0000000:2206
77:01:0000000:2207
77:01:0000000:2214
77:01:0000000:2277
77:01:0000000:2278
77:01:0001005:2118
77:01:0001008:1025
77:01:0001010:2160
77:01:0001016:1011
77:01:0001016:1018
77:01:0001019:1024
77:01:0001025:1033
77:01:0001026:1053
77:01:0001027:1034
77:01:0001037:2590
77:01:0001039:1017
77:01:0001039:1780
77:01:0001039:1977
77:01:0001039:1983
77:01:0001042:2159
77:01:0001042:2160
77:01:0001042:2161
77:01:0001042:2162
77:01:0001042:2163
77:01:0001042:2165
77:01:0001044:1069
77:01:0001045:1021
77:01:0001049:3402
77:01:0001054:1015
77:01:0001058:1082
77:01:0001060:2156
77:01:0001060:2194
77:01:0001061:1009
77:01:0001063:1025
77:01:0001063:1088
77:01:0001064:1024
77:01:0001068:1031
77:01:0001069:1068
77:01:0001071:3115
77:01:0001072:2424
77:01:0001072:2425
77:01:0001072:2426
77:01:0001075:1032
77:01:0001078:3028
77:01:0001080:1029
77:01:0001080:1060
77:01:0001080:2260
77:01:0001080:2261
77:01:0001080:2262
77:01:0001080:2273
77:01:0001080:2274
77:01:0001080:2275
77:01:0001080:2276
77:01:0001080:2277
77:01:0001080:2278
77:01:0001080:2279
77:01:0001080:2281
77:01:0001080:2291
77:01:0001080:2294
77:01:0001080:2297
77:01:0001080:2298
77:01:0001082:4029
77:01:0001082:4035
77:01:0001082:4036
77:01:0001082:4037
77:01:0001084:2436
77:01:0001090:3045
77:01:0001091:2397
77:01:0001093:1064
77:01:0001093:3369
77:01:0001094:1049
77:01:0001095:1004
77:01:0001098:1046
77:01:0001098:2540
77:01:0001098:2545
77:01:0002006:3930
77:01:0002007:1078
77:01:0002008:1022
77:01:0002008:1045
77:01:0002014:1149
77:01:0002016:1015
77:01:0002016:1037
77:01:0002018:1011
77:01:0002020:1035
77:01:0002022:2920
77:01:0002025:1066
77:01:0003001:1043
77:01:0003004:1134
77:01:0003004:1184
77:01:0003004:1185
77:01:0003004:1186
77:01:0003004:1190
77:01:0003004:2255
77:01:0003004:2276
77:01:0003004:2277
77:01:0003005:1079
77:01:0003006:1014
77:01:0003007:3326
77:01:0003008:3093
77:01:0003013:2777
77:01:0003017:3801
77:01:0003017:3803
77:01:0003017:3804
77:01:0003018:1057
77:01:0003018:1080
77:01:0003018:1124
77:01:0003018:3877
77:01:0003020:1035
77:01:0003020:1040
77:01:0003020:1043
77:01:0003020:1046
77:01:0003020:1047
77:01:0003020:1048
77:01:0003020:1049
77:01:0003020:1051
77:01:0003020:1102
77:01:0003020:2180
77:01:0003020:2269
77:01:0003020:2520
77:01:0003022:1011
77:01:0003022:1014
77:01:0003023:1030
77:01:0003023:1031
77:01:0003023:1035
77:01:0003025:1110
77:01:0003027:1097
77:01:0003035:1044
77:01:0003040:1034
77:01:0003042:1112
77:01:0003043:1009
77:01:0003043:4214
77:01:0003043:4217
77:01:0003043:4218
77:01:0003043:4219
77:01:0003043:4318
77:01:0003043:4331
77:01:0003043:4335
77:01:0003044:4555
77:01:0003049:2696
77:01:0003050:1055
77:01:0003053:1032
77:01:0003053:1033
77:01:0003055:4337
77:01:0004001:1010
77:01:0004001:1011
77:01:0004002:1113
77:01:0004005:1028
77:01:0004009:1054
77:01:0004009:3265
77:01:0004010:1019
77:01:0004011:1114
77:01:0004012:1085
77:01:0004014:1038
77:01:0004016:1067
77:01:0004023:2791
77:01:0004028:1005
77:01:0004028:4406
77:01:0004033:2682
77:01:0004033:2683
77:01:0004033:2684
77:01:0004033:2706
77:01:0004033:2708
77:01:0004033:2795
77:01:0004033:2796
77:01:0004033:3006
77:01:0004033:3007
77:01:0004033:3008
77:01:0004033:3009
77:01:0004033:3010
77:01:0004033:3011
77:01:0004033:3012
77:01:0004033:3029
77:01:0004033:3030
77:01:0004033:3031
77:01:0004033:3032
77:01:0004033:3033
77:01:0004033:3034
77:01:0004033:3035
77:01:0004033:3036
77:01:0004042:5068
77:01:0004042:6044
77:01:0004042:6264
77:01:0005001:1055
77:01:0005001:1057
77:01:0005001:1061
77:01:0005002:1056
77:01:0005004:1017
77:01:0005006:5347
